campaign,training_step_mask,validation_selection_metric,seed,split,scenario,scenario_label,requested_inference_mode,selected_inference_mode,inference_mode_selection_source,best_input_candidate_method,best_input_candidate_observed_step_pos_rmse_m,fixed_soft_observed_step_pos_rmse_m,fixed_soft_gain_vs_best_input_observed_step_percent,fixed_soft_result,best_input_candidate_all_step_method,best_input_candidate_all_step_pos_rmse_m,fixed_soft_all_step_pos_rmse_m,fixed_soft_gain_vs_best_input_all_step_percent,fixed_soft_all_step_result,source_dir,source_csv
centered_fixed_soft_full_retraining,centered,all_step_pos_rmse_m,7,7,maneuver_shift_test,maneuver,soft,soft,cli_fixed,EKF,534.2560571821862,527.0117103997259,1.3559690498726362,win,RFIS,8565.608015297677,6809.484691646865,20.502027649578153,win,results/adaptive_candidate_fusion_centered_fixed_soft_seed7_split7_20260623,results/adaptive_candidate_fusion_centered_fixed_soft_seed7_split7_20260623/adaptive_candidate_fusion_summary.csv
centered_fixed_soft_full_retraining,centered,all_step_pos_rmse_m,7,7,process_noise_shift_test,process,soft,soft,cli_fixed,EKF,324.0946569150704,316.0970628616314,2.4676722935098514,win,BatchWLS,2150.48913555639,4835.376647161121,-124.85008490452462,loss,results/adaptive_candidate_fusion_centered_fixed_soft_seed7_split7_20260623,results/adaptive_candidate_fusion_centered_fixed_soft_seed7_split7_20260623/adaptive_candidate_fusion_summary.csv
centered_fixed_soft_full_retraining,centered,all_step_pos_rmse_m,11,11,maneuver_shift_test,maneuver,soft,soft,cli_fixed,RFIS,845.4909419577692,743.8592464199016,12.02043576038026,win,VA_RFIS,11075.642687548776,11722.32105987293,-5.838743543534032,loss,results/adaptive_candidate_fusion_centered_fixed_soft_seed11_split11_20260623,results/adaptive_candidate_fusion_centered_fixed_soft_seed11_split11_20260623/adaptive_candidate_fusion_summary.csv
centered_fixed_soft_full_retraining,centered,all_step_pos_rmse_m,11,11,process_noise_shift_test,process,soft,soft,cli_fixed,RFIS,373.9673740877506,372.27136329007095,0.4535183856123494,win,EKF,7030.522398202353,6948.632444600007,1.1647776504244418,win,results/adaptive_candidate_fusion_centered_fixed_soft_seed11_split11_20260623,results/adaptive_candidate_fusion_centered_fixed_soft_seed11_split11_20260623/adaptive_candidate_fusion_summary.csv
centered_fixed_soft_full_retraining,centered,all_step_pos_rmse_m,13,13,maneuver_shift_test,maneuver,soft,soft,cli_fixed,UKF,774.000878557363,713.471148400059,7.820369696494862,win,VA_RFIS,20747.05971382575,20801.127695901465,-0.2606055162586891,loss,results/adaptive_candidate_fusion_centered_fixed_soft_seed13_split13_20260623,results/adaptive_candidate_fusion_centered_fixed_soft_seed13_split13_20260623/adaptive_candidate_fusion_summary.csv
centered_fixed_soft_full_retraining,centered,all_step_pos_rmse_m,13,13,process_noise_shift_test,process,soft,soft,cli_fixed,EKF,328.2537766621132,339.48025273095016,-3.4200599862078374,loss,EKF,4327.127525328629,3473.412361000905,19.72937380122366,win,results/adaptive_candidate_fusion_centered_fixed_soft_seed13_split13_20260623,results/adaptive_candidate_fusion_centered_fixed_soft_seed13_split13_20260623/adaptive_candidate_fusion_summary.csv
centered_fixed_soft_full_retraining,centered,all_step_pos_rmse_m,17,17,maneuver_shift_test,maneuver,soft,soft,cli_fixed,EKF,420.83359837283683,470.8269028297162,-11.879589616936398,loss,UKF,11504.040832736653,10965.154122387006,4.684325431253298,win,results/adaptive_candidate_fusion_centered_fixed_soft_seed17_split17_20260623,results/adaptive_candidate_fusion_centered_fixed_soft_seed17_split17_20260623/adaptive_candidate_fusion_summary.csv
centered_fixed_soft_full_retraining,centered,all_step_pos_rmse_m,17,17,process_noise_shift_test,process,soft,soft,cli_fixed,RFIS,405.09836663882396,362.9981074455224,10.392601565544485,win,VA_RFIS,6202.211306426793,7926.903961199604,-27.80770550312704,loss,results/adaptive_candidate_fusion_centered_fixed_soft_seed17_split17_20260623,results/adaptive_candidate_fusion_centered_fixed_soft_seed17_split17_20260623/adaptive_candidate_fusion_summary.csv
centered_fixed_soft_full_retraining,centered,all_step_pos_rmse_m,19,19,maneuver_shift_test,maneuver,soft,soft,cli_fixed,RFIS,508.4448509899789,505.41035430607263,0.5968192377202477,win,EKF,6881.972190809139,5989.032477491055,12.97505553002093,win,results/adaptive_candidate_fusion_centered_fixed_soft_seed19_split19_20260623,results/adaptive_candidate_fusion_centered_fixed_soft_seed19_split19_20260623/adaptive_candidate_fusion_summary.csv
centered_fixed_soft_full_retraining,centered,all_step_pos_rmse_m,19,19,process_noise_shift_test,process,soft,soft,cli_fixed,EKF,391.84014435415736,367.79409708671517,6.1366982464432285,win,VA_RFIS,5933.019507120114,6457.201604054768,-8.834997024796424,loss,results/adaptive_candidate_fusion_centered_fixed_soft_seed19_split19_20260623,results/adaptive_candidate_fusion_centered_fixed_soft_seed19_split19_20260623/adaptive_candidate_fusion_summary.csv
