seed,split,scenario,run_name,policy_id,policy_kind,policy_components,policy_alpha,policy_validation_rmse_m,policy_validation_steps,portfolio_observed_step_pos_rmse_m,best_input_candidate_method,best_input_candidate_observed_step_pos_rmse_m,gain_vs_best_input_observed_step_percent,result_vs_best_input,portfolio_all_step_pos_rmse_m,run_dir
7,7,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed7_split7_20260623,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,311.3639444580172,EKF,324.09465691507035,3.928084646082036,win,5606.139415737055,results/adaptive_candidate_fusion_centered_fixed_soft_seed7_split7_20260623
7,7,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed7_split7_20260623,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,515.4913598263826,EKF,534.2560571821862,3.512304091557482,win,7466.467765412444,results/adaptive_candidate_fusion_centered_fixed_soft_seed7_split7_20260623
11,11,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed11_split11_20260623,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,358.11691469708205,RFIS,373.9673740877506,4.238460488520928,win,6966.454289607486,results/adaptive_candidate_fusion_centered_fixed_soft_seed11_split11_20260623
11,11,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed11_split11_20260623,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,773.7121282081031,RFIS,845.4909419577691,8.489601743510017,win,12131.083467319455,results/adaptive_candidate_fusion_centered_fixed_soft_seed11_split11_20260623
13,13,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed13_split13_20260623,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,322.42579615430657,EKF,328.2537766621132,1.7754496435864697,win,3705.8435719075787,results/adaptive_candidate_fusion_centered_fixed_soft_seed13_split13_20260623
13,13,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed13_split13_20260623,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,729.7562623312768,UKF,774.000878557363,5.716352196983592,win,20998.055534861684,results/adaptive_candidate_fusion_centered_fixed_soft_seed13_split13_20260623
17,17,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed17_split17_20260623,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,370.30164862362903,RFIS,405.09836663882396,8.589695955555124,win,8948.853000630557,results/adaptive_candidate_fusion_centered_fixed_soft_seed17_split17_20260623
17,17,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed17_split17_20260623,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,425.49779171854215,EKF,420.8335983728368,-1.1083224732387307,loss,11055.548911352622,results/adaptive_candidate_fusion_centered_fixed_soft_seed17_split17_20260623
19,19,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed19_split19_20260623,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,370.5836263270779,EKF,391.84014435415736,5.424793333035099,win,6688.646025191946,results/adaptive_candidate_fusion_centered_fixed_soft_seed19_split19_20260623
19,19,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed19_split19_20260623,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,505.9231055841647,RFIS,508.4448509899789,0.49597225754261015,win,6277.196700962759,results/adaptive_candidate_fusion_centered_fixed_soft_seed19_split19_20260623
