scenario,scenario_index,realization_index,data_seed,initialization_seed,filter_seed,trajectories,time_steps,observed_step_count,zero_visible_step_count,visible_update_count,ekf_pos_rmse_m,ukf_pos_rmse_m,aukf_pos_rmse_m,best_nonadaptive_method,best_nonadaptive_pos_rmse_m,aukf_minus_ukf_m,aukf_vs_ukf_percent,aukf_minus_best_nonadaptive_m,aukf_vs_best_nonadaptive_percent,median_pre_update_r_only_nis_ukf,median_pre_update_r_only_nis_aukf,rho_pre_update_r_only_nis_aukf_vs_ukf,ukf_pre_update_r_only_nis_finite_count,aukf_pre_update_r_only_nis_finite_count,ukf_pre_update_r_only_nis_nonfinite_count,aukf_pre_update_r_only_nis_nonfinite_count,aukf_worse_than_ukf,aukf_worse_than_best_nonadaptive,finite_for_thresholds,divergent,exclusion_reason
test,0,0,91000,91017,91037,12,120,358,950,358,310.6533436774987,393.9514024033794,298.00789334371086,EKF,310.6533436774987,-95.94350905966854,-24.354148373212013,-12.645450333787835,-4.07059849544564,5.681628491565371,5.588057685543772,0.9835309883142642,358,358,0,0,false,false,true,false,
test,0,1,91101,91118,91138,12,120,243,1065,243,345.40393301199504,361.29250833843287,346.6570757070752,EKF,345.40393301199504,-14.635432631357673,-4.0508541676286995,1.2531426950801574,0.36280498723696897,4.986419069576423,4.511895745747145,0.9048368544223487,243,243,0,0,false,true,true,false,
test,0,2,91202,91219,91239,12,120,233,1075,233,396.1100105248537,401.582370875223,388.2252985041647,EKF,396.1100105248537,-13.35707237105828,-3.3261102428245044,-7.884712020688994,-1.9905359145661563,5.333525778681454,5.214862629535852,0.9777514623403699,233,233,0,0,false,false,true,false,
test,0,3,91303,91320,91340,12,120,356,952,356,434.76500477589946,410.91308851632414,406.01991093629823,UKF,410.91308851632414,-4.893177580025906,-1.1908059676788605,-4.893177580025906,-1.1908059676788605,5.616974937922722,5.331487760704462,0.9491742120316743,356,356,0,0,false,false,true,false,
test,0,4,91404,91421,91441,12,120,339,969,355,392.2925093748105,571.5513017962679,521.8778782673446,EKF,392.2925093748105,-49.67342352892331,-8.690982484478642,129.58536889253412,33.03284304333315,5.478008838402042,5.609254077750583,1.0239585665558775,355,355,0,0,false,true,true,false,
test,0,5,91505,91522,91542,12,120,193,1115,193,423.61689685647565,467.49943146776855,444.2984902960963,EKF,423.61689685647565,-23.20094117167224,-4.9627742003514745,20.681593439620656,4.882145540721367,6.342138321745904,6.5092491621979125,1.0263492897780264,193,193,0,0,false,true,true,false,
test,0,6,91606,91623,91643,12,120,198,1110,198,302.9196472621821,295.42605187792066,294.24700068875177,UKF,295.42605187792066,-1.179051189168888,-0.39910196872417636,-1.179051189168888,-0.39910196872417636,6.039133371142367,5.98683521969237,0.9913401231209927,198,198,0,0,false,false,true,false,
test,0,7,91707,91724,91744,12,120,305,1003,308,389.1443810200397,421.03092705550995,417.38498247623187,EKF,389.1443810200397,-3.64594457927808,-0.8659564761135439,28.240601456192167,7.257101177246053,6.280256862057125,6.004434974353996,0.9560811135975127,308,308,0,0,false,true,true,false,
stress_test,1,0,191000,191017,191037,12,120,238,1070,243,736.9447848526044,938.1236299015184,735.4430260160071,EKF,736.9447848526044,-202.68060388551123,-21.60489272685606,-1.5017588365972188,-0.20378173066216682,5.415570577498087,5.355970278404589,0.988994640871058,243,243,0,0,false,false,true,false,
stress_test,1,1,191101,191118,191138,12,120,310,998,320,785.4876643427586,1226.0449927328877,780.8082172639947,EKF,785.4876643427586,-445.23677546889303,-36.31488062085292,-4.679447078763928,-0.5957378188337769,5.690146842604437,4.354609228499746,0.7652894290697422,320,320,0,0,false,false,true,false,
stress_test,1,2,191202,191219,191239,12,120,227,1081,227,872.408049987192,1673.0106196748982,862.9119560589603,EKF,872.408049987192,-810.0986636159379,-48.42160916906537,-9.496093928231744,-1.0884922403422526,6.075157510494688,4.776523249248199,0.7862385857480848,227,227,0,0,false,false,true,false,
stress_test,1,3,191303,191320,191340,12,120,218,1090,218,765.7909127402565,1215.273100382477,712.8983498471522,EKF,765.7909127402565,-502.3747505353248,-41.33842429139712,-52.892562893104355,-6.906919632127397,5.579274573103078,5.45976241183304,0.978579265152823,218,218,0,0,false,false,true,false,
stress_test,1,4,191404,191421,191441,12,120,355,953,365,919.3010684695279,1824.959217641534,881.8977569499236,EKF,919.3010684695279,-943.0614606916104,-51.67575535799455,-37.403311519604244,-4.068668339728363,5.890069451740793,4.875584249233624,0.8277634566418668,365,365,0,0,false,false,true,false,
stress_test,1,5,191505,191522,191542,12,120,245,1063,245,828.7054192219272,1080.8035067047435,818.5456534318753,EKF,828.7054192219272,-262.25785327286826,-24.265081640275664,-10.159765790051893,-1.225980373048714,4.449566267825688,4.1348791284472375,0.9292768956709517,245,245,0,0,false,false,true,false,
stress_test,1,6,191606,191623,191643,12,120,360,948,392,853.6298030272851,1377.6741801692801,908.8647296951953,EKF,853.6298030272851,-468.8094504740849,-34.029051079151415,55.234926667910145,6.470594919721265,6.070425641032081,4.789053531834498,0.7889156074104012,392,392,0,0,false,true,true,false,
stress_test,1,7,191707,191724,191744,12,120,246,1062,246,935.6489862327808,1124.696276590759,930.9607614832966,EKF,935.6489862327808,-193.73551510746245,-17.225585177068794,-4.68822474948422,-0.5010666199041692,6.191156585835545,5.36261255989892,0.8661729816635212,246,246,0,0,false,false,true,false,
high_drag_test,2,0,291000,291017,291037,12,120,157,1151,157,338.03748278197816,329.69687529295373,316.12202483507315,UKF,329.69687529295373,-13.574850457880586,-4.1173731009184085,-13.574850457880586,-4.1173731009184085,7.632589626047228,7.760065370555887,1.0167015064027065,157,157,0,0,false,false,true,false,
high_drag_test,2,1,291101,291118,291138,12,120,295,1013,295,425.3204603785471,414.06114979924143,442.0048691262019,UKF,414.06114979924143,27.94371932696049,6.748693844015327,27.94371932696049,6.748693844015327,6.796340379010276,6.87244742198013,1.011198238864684,295,295,0,0,true,true,true,false,
high_drag_test,2,2,291202,291219,291239,12,120,260,1048,263,386.25846589895656,379.0281633811883,365.8417850822754,UKF,379.0281633811883,-13.18637829891287,-3.478996964574198,-13.18637829891287,-3.478996964574198,7.39432409042289,7.38288138862801,0.9984525019927514,263,263,0,0,false,false,true,false,
high_drag_test,2,3,291303,291320,291340,12,120,215,1093,215,476.0099385255667,633.8197594034312,486.67125428216417,EKF,476.0099385255667,-147.14850512126708,-23.21614353894037,10.661315756597446,2.239725453972811,7.601636196402968,6.746474381165373,0.8875029279035677,215,215,0,0,false,true,true,false,
high_drag_test,2,4,291404,291421,291441,12,120,228,1080,228,396.29413983849264,474.9892902049799,414.3836827715966,EKF,396.29413983849264,-60.605607433383284,-12.759362933684073,18.089542933103985,4.564675859319109,6.344150990729241,6.3734237475766795,1.0046141330637015,228,228,0,0,false,true,true,false,
high_drag_test,2,5,291505,291522,291542,12,120,237,1071,237,419.4829630932144,465.1618955760539,409.63599073896154,EKF,419.4829630932144,-55.525904837092355,-11.936898822791447,-9.846972354252841,-2.3474069796881643,7.001856115931635,6.62482926260961,0.9461532989139609,237,237,0,0,false,false,true,false,
high_drag_test,2,6,291606,291623,291643,12,120,343,965,355,342.1494568310422,353.1061571731705,354.8950429181416,EKF,342.1494568310422,1.7888857449710827,0.5066141466612195,12.745586087099412,3.725151635530243,6.6482020682609635,6.478042111935528,0.974405116664881,355,355,0,0,true,true,true,false,
high_drag_test,2,7,291707,291724,291744,12,120,418,890,442,377.2605926334332,378.63306467037,376.7336305015042,EKF,377.2605926334332,-1.8994341688658096,-0.5016556518959635,-0.5269621319289968,-0.1396812023886687,7.053614528836167,6.7834240901786185,0.9616947541500925,442,442,0,0,false,false,true,false,
process_noise_shift_test,3,0,391000,391017,391037,12,120,238,1070,238,482.18518454689604,477.22746791166213,514.4672548395247,UKF,477.22746791166213,37.23978692786255,7.80336200906941,37.23978692786255,7.80336200906941,16.959508682938356,17.244121798285722,1.0167819198461623,238,238,0,0,true,true,true,false,
process_noise_shift_test,3,1,391101,391118,391138,12,120,245,1063,258,445.29967863076973,460.91193069866875,497.40466641069156,EKF,445.29967863076973,36.49273571202281,7.917507289669342,52.10498777992183,11.701106082119106,19.78868942075161,19.18793516332243,0.9696415338754474,258,258,0,0,true,true,true,false,
process_noise_shift_test,3,2,391202,391219,391239,12,120,331,977,351,529.2871117614922,411.82251533062606,415.8887531418487,UKF,411.82251533062606,4.066237811222663,0.9873762749368232,4.066237811222663,0.9873762749368232,19.24213722471048,25.9712251987457,1.3497058510420465,351,351,0,0,true,true,true,false,
process_noise_shift_test,3,3,391303,391320,391340,12,120,435,873,467,413.2629130609534,459.31992225039414,455.0281830087226,EKF,413.2629130609534,-4.291739241671564,-0.9343681895278125,41.765269947769184,10.1062226074008,18.88022231829257,19.853602602109312,1.0515555520166548,467,467,0,0,false,true,true,false,
process_noise_shift_test,3,4,391404,391421,391441,12,120,322,986,339,368.9446768143341,401.38185710417577,421.04516772423364,EKF,368.9446768143341,19.66331062005787,4.898903692837915,52.10049090989952,14.121491427864754,18.914037883536892,21.0803419870299,1.114534195015999,339,339,0,0,true,true,true,false,
process_noise_shift_test,3,5,391505,391522,391542,12,120,153,1155,153,471.46870841690503,465.6464853438623,479.3385767592147,UKF,465.6464853438623,13.692091415352365,2.940447710078016,13.692091415352365,2.940447710078016,21.615823812944228,20.29518219001087,0.9389039421138085,153,153,0,0,true,true,true,false,
process_noise_shift_test,3,6,391606,391623,391643,12,120,293,1015,316,378.63166525984616,414.2730042281991,445.21456593524135,EKF,378.63166525984616,30.94156170704224,7.4688819670224795,66.5829006753952,17.58513795450808,19.237197446391527,18.898369207355692,0.9823868190790238,316,316,0,0,true,true,true,false,
