scenario,label,trajectory_index,EnKF_observed_pos_rmse_m,EKF_observed_pos_rmse_m,UKF_observed_pos_rmse_m,AUKF_observed_pos_rmse_m
force_model_mismatch_test,force_mismatch,0,317.71317837218197,348.151898114354,343.6120985740148,333.3382584158362
force_model_mismatch_test,force_mismatch,1,438.6062749217578,396.80905242923023,400.6579153765611,405.3239904081726
force_model_mismatch_test,force_mismatch,2,351.47974882304044,262.8640408326521,270.79023015066775,292.0436755065931
force_model_mismatch_test,force_mismatch,3,375.4640417388369,381.54440242776207,385.6425185277578,394.9622927268255
force_model_mismatch_test,force_mismatch,4,570.4425726893489,345.24952596618425,389.16303735205054,382.15966365180714
force_model_mismatch_test,force_mismatch,5,699.917329653976,752.1121357149516,787.7544939563147,1106.844639079496
force_model_mismatch_test,force_mismatch,6,,,,
force_model_mismatch_test,force_mismatch,7,486.9170121034582,314.5201459763865,310.7304438321594,390.30610480352516
force_model_mismatch_test,force_mismatch,8,457.13359744876504,364.75703752734677,397.57513718037626,450.7777535561674
force_model_mismatch_test,force_mismatch,9,732.7856958969455,650.042793425253,659.4670504256794,613.2496665706819
force_model_mismatch_test,force_mismatch,10,536.098703206765,493.02164021524123,476.5363568850176,535.1171271266231
force_model_mismatch_test,force_mismatch,11,709.9722458796425,559.9974207272923,553.7431330761573,576.9088012195925
force_model_mismatch_test,force_mismatch,12,830.0463904687546,763.4206428833915,759.9403780336318,893.098493880573
force_model_mismatch_test,force_mismatch,13,,,,
force_model_mismatch_test,force_mismatch,14,,,,
force_model_mismatch_test,force_mismatch,15,397.30441145246164,338.1178575327841,278.52531536008405,277.03878292680173
force_model_mismatch_test,force_mismatch,16,424.9575503678732,363.47285361899696,385.5947293412568,400.04294163334134
force_model_mismatch_test,force_mismatch,17,624.9537235408817,501.1299853948409,518.3420869125297,656.8887582038011
force_model_mismatch_test,force_mismatch,18,540.8993465543306,460.8630062201319,490.43795840520494,697.5318957932669
force_model_mismatch_test,force_mismatch,19,176.97984072897026,192.57513728399803,192.56479945535037,209.70417099459374
force_model_mismatch_test,force_mismatch,20,652.1561852065224,531.6359344685162,518.5675093067454,549.2933289140125
force_model_mismatch_test,force_mismatch,21,233.51924498782606,192.61264577060086,188.8796634777372,162.47131769503022
force_model_mismatch_test,force_mismatch,22,,,,
force_model_mismatch_test,force_mismatch,23,1164.0701250831635,927.7266750778842,1237.813795471469,1216.9364379255614
force_model_mismatch_test,force_mismatch,24,388.18309285500885,381.9283344981944,387.03599435245536,417.2247972034841
force_model_mismatch_test,force_mismatch,25,,,,
force_model_mismatch_test,force_mismatch,26,503.03536639822454,284.500490592394,310.16123300769306,481.96899575052004
force_model_mismatch_test,force_mismatch,27,120.72949970661337,147.9199061831458,180.32305244253774,126.2419297040583
force_model_mismatch_test,force_mismatch,28,623.6652905593342,552.5772030710438,551.7677539393121,505.60817878793637
force_model_mismatch_test,force_mismatch,29,393.0497436007071,174.78039954805166,181.22783798657306,172.90077490760615
force_model_mismatch_test,force_mismatch,30,367.60491898626753,306.6676004399729,539.7802825639288,774.1447928787236
force_model_mismatch_test,force_mismatch,31,479.17903691741054,513.4202122193257,523.2718042843128,571.2758678400712
force_model_mismatch_test,force_mismatch,32,,,,
force_model_mismatch_test,force_mismatch,33,,,,
force_model_mismatch_test,force_mismatch,34,239.3684464562281,237.94110102369052,241.69551582980705,247.16770730499786
force_model_mismatch_test,force_mismatch,35,580.3164722972357,730.9552110634628,691.1364018093554,706.1149487462267
force_model_mismatch_test,force_mismatch,36,438.1008332536733,470.33961101642416,438.1091186708985,448.4822349940005
force_model_mismatch_test,force_mismatch,37,,,,
force_model_mismatch_test,force_mismatch,38,,,,
force_model_mismatch_test,force_mismatch,39,525.2323952835543,277.3659591634419,518.9863684615599,297.78180806394437
force_model_mismatch_test,force_mismatch,40,439.59922701200634,388.45887778102815,377.37877137699724,394.0435244033984
force_model_mismatch_test,force_mismatch,41,,,,
force_model_mismatch_test,force_mismatch,42,708.3320807149506,453.0964915307806,631.5263434153733,435.37841375441667
force_model_mismatch_test,force_mismatch,43,344.19450882119844,408.0505600721117,398.7752458874376,368.91931473096474
force_model_mismatch_test,force_mismatch,44,343.56102811457924,205.4078105699605,224.79792150151138,232.50188841006621
force_model_mismatch_test,force_mismatch,45,1021.6611268269866,1003.6247447934171,1053.4840890015355,1315.8921418592886
force_model_mismatch_test,force_mismatch,46,603.552914566816,505.48383260138627,403.34200652480314,399.0903164136851
force_model_mismatch_test,force_mismatch,47,217.78154484725255,201.6769516014909,177.77361497858578,155.61983076846442
test,nominal,0,1116.5087388547154,862.8044145616984,1064.4137603217594,655.6377615095114
test,nominal,1,143.7333225655546,173.5554636589139,155.58637342177403,154.63384528552263
test,nominal,2,225.19009918779787,217.81132656926135,208.0380928859141,204.93273127255662
test,nominal,3,415.2146005210434,375.4400117817751,378.15865820945174,385.1429458871905
test,nominal,4,70.85830142573406,65.63735339259043,66.2125213235911,73.26208262022192
test,nominal,5,338.2576127932481,329.53167758583317,329.3014616457518,333.67790235394364
test,nominal,6,437.72813934257954,378.59447208468197,386.20727250233494,421.3606268991604
test,nominal,7,,,,
test,nominal,8,500.15262684243066,491.40723164772317,470.58518398152694,472.73183321820954
test,nominal,9,391.8347132306703,363.19064142426873,367.9749155436567,412.48602017386844
test,nominal,10,,,,
test,nominal,11,369.8390841053405,309.2336341669938,306.18318371058734,334.8547200957053
test,nominal,12,277.45158849982005,297.92858449845676,294.2856009027766,280.04354651170087
test,nominal,13,432.46005135155036,396.12319777125,394.0108517315377,392.14955314140843
test,nominal,14,445.8423299829774,445.2238083820614,443.5315994503017,444.4909900193642
test,nominal,15,,,,
test,nominal,16,251.6491203930857,269.2484423402792,268.09978030286123,345.54295707614375
test,nominal,17,391.13215361682205,289.68105475846903,291.05008463195543,293.45863913583275
test,nominal,18,371.1031433810823,415.40220390329335,412.91501778050736,436.0604379888941
test,nominal,19,597.6871341483755,577.240320182831,605.8904836242991,538.8487588531699
test,nominal,20,360.4761872490593,382.93487412625433,475.9199541594896,394.1534831839752
test,nominal,21,223.9690358118369,241.38559022230993,229.6242757604419,229.15548531632464
test,nominal,22,294.1492626216809,318.7413826615829,314.64258874652245,301.2218940014344
test,nominal,23,247.43457257865515,243.8962925359949,231.4957659370883,235.15380176821546
test,nominal,24,,,,
