method,scenario,seed,comparison,baseline,metric,window_size,eval_start_step,observed_steps,candidate_observed_pos_rmse_m,baseline_observed_pos_rmse_m,observed_step_gain_m,observed_step_percent_improvement,seed_win,checkpoint
RGR-GF,test,41,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,384.2089795429849,387.4404824696617,3.2315029266767965,0.8340643461102023,True,results\seed_suite_hybrid_public\seed_41\best_hybrid.pt
RGR-GF,test,41,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,384.2089795429849,392.69448482147465,8.485505278489768,2.1608414700164222,True,results\seed_suite_hybrid_public\seed_41\best_hybrid.pt
RGR-GF,test,42,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,498.0208602610723,387.4404824696617,-110.58037779141063,-28.541255443039454,False,results\seed_suite_hybrid_public\seed_42\best_hybrid.pt
RGR-GF,test,42,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,498.0208602610723,392.69448482147465,-105.32637543959765,-26.821455230643423,False,results\seed_suite_hybrid_public\seed_42\best_hybrid.pt
RGR-GF,test,43,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,444.37638305865534,387.4404824696617,-56.93590058899366,-14.695392754537982,False,results\seed_suite_hybrid_public\seed_43\best_hybrid.pt
RGR-GF,test,43,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,444.37638305865534,392.69448482147465,-51.68189823718069,-13.160841375369996,False,results\seed_suite_hybrid_public\seed_43\best_hybrid.pt
RGR-GF,test,44,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,623.9714099563215,387.4404824696617,-236.53092748665983,-61.04961618335308,False,results\seed_suite_hybrid_public\seed_44\best_hybrid.pt
RGR-GF,test,44,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,623.9714099563215,392.69448482147465,-231.27692513484686,-58.894874787963765,False,results\seed_suite_hybrid_public\seed_44\best_hybrid.pt
RGR-GF,test,45,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,393.42248995299985,387.4404824696617,-5.9820074833381796,-1.5439810123111226,False,results\seed_suite_hybrid_public\seed_45\best_hybrid.pt
RGR-GF,test,45,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,393.42248995299985,392.69448482147465,-0.7280051315252081,-0.1853871545601592,False,results\seed_suite_hybrid_public\seed_45\best_hybrid.pt
RGR-GF,test,46,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,380.3572869630188,387.4404824696617,7.0831955066428804,1.8282022212786002,True,results\seed_suite_hybrid_public\seed_46\best_hybrid.pt
RGR-GF,test,46,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,380.3572869630188,392.69448482147465,12.337197858455852,3.141678412943473,True,results\seed_suite_hybrid_public\seed_46\best_hybrid.pt
RGR-GF,test,47,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,507.2497416575653,387.4404824696617,-119.80925918790365,-30.92326811700304,False,results\seed_suite_hybrid_public\seed_47\best_hybrid.pt
RGR-GF,test,47,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,507.2497416575653,392.69448482147465,-114.55525683609068,-29.171598090604554,False,results\seed_suite_hybrid_public\seed_47\best_hybrid.pt
RGR-GF,test,48,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,487.9419561006346,387.4404824696617,-100.50147363097295,-25.939848358216587,False,results\seed_suite_hybrid_public\seed_48\best_hybrid.pt
RGR-GF,test,48,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,487.9419561006346,392.69448482147465,-95.24747127915998,-24.254853317448816,False,results\seed_suite_hybrid_public\seed_48\best_hybrid.pt
RGR-GF,test,49,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,661.6095136549641,387.4404824696617,-274.1690311853024,-70.7641672954945,False,results\seed_suite_hybrid_public\seed_49\best_hybrid.pt
RGR-GF,test,49,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,661.6095136549641,392.69448482147465,-268.91502883348943,-68.47945138718782,False,results\seed_suite_hybrid_public\seed_49\best_hybrid.pt
RGR-GF,test,50,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,379.2114128332429,387.4404824696617,8.229069636418785,2.1239571001884547,True,results\seed_suite_hybrid_public\seed_50\best_hybrid.pt
RGR-GF,test,50,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,379.2114128332429,392.69448482147465,13.483071988231757,3.43347627974999,True,results\seed_suite_hybrid_public\seed_50\best_hybrid.pt
RGR-GF,test,51,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,381.40693618804204,387.4404824696617,6.0335462816196355,1.5572833905120096,True,results\seed_suite_hybrid_public\seed_51\best_hybrid.pt
RGR-GF,test,51,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,381.40693618804204,392.69448482147465,11.287548633432607,2.874384303758203,True,results\seed_suite_hybrid_public\seed_51\best_hybrid.pt
RGR-GF,test,52,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,381.69921737588487,387.4404824696617,5.7412650937768035,1.481844400249623,True,results\seed_suite_hybrid_public\seed_52\best_hybrid.pt
RGR-GF,test,52,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,381.69921737588487,392.69448482147465,10.995267445589775,2.799954639186849,True,results\seed_suite_hybrid_public\seed_52\best_hybrid.pt
RGR-GF,test,53,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,382.5414900505571,387.4404824696617,4.898992419104559,1.2644503196663688,True,results\seed_suite_hybrid_public\seed_53\best_hybrid.pt
RGR-GF,test,53,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,382.5414900505571,392.69448482147465,10.15299477091753,2.5854691530830256,True,results\seed_suite_hybrid_public\seed_53\best_hybrid.pt
RGR-GF,test,54,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,700.8791559038011,387.4404824696617,-313.43867343413945,-80.89982529347152,False,results\seed_suite_hybrid_public\seed_54\best_hybrid.pt
RGR-GF,test,54,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,700.8791559038011,392.69448482147465,-308.1846710823265,-78.47950073004775,False,results\seed_suite_hybrid_public\seed_54\best_hybrid.pt
RGR-GF,test,55,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1454,379.6295885449423,387.4404824696617,7.81089392471938,2.0160242096877443,True,results\seed_suite_hybrid_public\seed_55\best_hybrid.pt
RGR-GF,test,55,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1454,379.6295885449423,392.69448482147465,13.064896276532352,3.326987462650989,True,results\seed_suite_hybrid_public\seed_55\best_hybrid.pt
RGR-GF,stress_test,41,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1060.475868014242,1882.719629563295,822.243761549053,43.673192154467316,True,results\seed_suite_hybrid_public\seed_41\best_hybrid.pt
RGR-GF,stress_test,41,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1060.475868014242,915.2125245573543,-145.2633434568877,-15.872088674392304,False,results\seed_suite_hybrid_public\seed_41\best_hybrid.pt
RGR-GF,stress_test,42,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1090.8831650894613,1882.719629563295,791.8364644738338,42.05811911875077,True,results\seed_suite_hybrid_public\seed_42\best_hybrid.pt
RGR-GF,stress_test,42,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1090.8831650894613,915.2125245573543,-175.67064053210697,-19.19451884873087,False,results\seed_suite_hybrid_public\seed_42\best_hybrid.pt
RGR-GF,stress_test,43,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1203.0717620451805,1882.719629563295,679.6478675181145,36.09926071019729,True,results\seed_suite_hybrid_public\seed_43\best_hybrid.pt
RGR-GF,stress_test,43,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1203.0717620451805,915.2125245573543,-287.85923748782625,-31.452720517242742,False,results\seed_suite_hybrid_public\seed_43\best_hybrid.pt
RGR-GF,stress_test,44,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1147.685506552772,1882.719629563295,735.034123010523,39.04108245692522,True,results\seed_suite_hybrid_public\seed_44\best_hybrid.pt
RGR-GF,stress_test,44,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1147.685506552772,915.2125245573543,-232.47298199541774,-25.400983460956688,False,results\seed_suite_hybrid_public\seed_44\best_hybrid.pt
RGR-GF,stress_test,45,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,948.947090444993,1882.719629563295,933.772539118302,49.59700448520285,True,results\seed_suite_hybrid_public\seed_45\best_hybrid.pt
RGR-GF,stress_test,45,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,948.947090444993,915.2125245573543,-33.73456588763872,-3.685981669006831,False,results\seed_suite_hybrid_public\seed_45\best_hybrid.pt
RGR-GF,stress_test,46,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1115.1454742694732,1882.719629563295,767.5741552938218,40.769434983363084,True,results\seed_suite_hybrid_public\seed_46\best_hybrid.pt
RGR-GF,stress_test,46,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1115.1454742694732,915.2125245573543,-199.9329497121189,-21.845521597163145,False,results\seed_suite_hybrid_public\seed_46\best_hybrid.pt
RGR-GF,stress_test,47,vs UKF,UKF,observed_step_pos_rmse_m,12,11,1432,1073.1163367440918,1882.719629563295,809.6032928192033,43.00179804291913,True,results\seed_suite_hybrid_public\seed_47\best_hybrid.pt
RGR-GF,stress_test,47,vs AUKF,AUKF,observed_step_pos_rmse_m,12,11,1432,1073.1163367440918,915.2125245573543,-157.90381218673747,-17.253239870499826,False,results\seed_suite_hybrid_public\seed_47\best_hybrid.pt
